web-scraper-order,web-scraper-start-url,page,page-href,episode,title,number of ratings
"1544663764-675","https://www.imdb.com/title/tt0386676/?ref_=ttep_ep_tt","6","https://www.imdb.com/title/tt0386676/episodes?season=6&ref_=tt_eps_sn_6","S6, Ep3","The Promotion","(1,516)"
"1544663754-595","https://www.imdb.com/title/tt0386676/?ref_=ttep_ep_tt","2","https://www.imdb.com/title/tt0386676/episodes?season=2&ref_=tt_eps_sn_2","S2, Ep8","Performance Review","(2,096)"
"1544663771-753","https://www.imdb.com/title/tt0386676/?ref_=ttep_ep_tt","9","https://www.imdb.com/title/tt0386676/episodes?season=9&ref_=tt_eps_sn_9","S9, Ep7","The Whale","(1,213)"
"1544663764-679","https://www.imdb.com/title/tt0386676/?ref_=ttep_ep_tt","6","https://www.imdb.com/title/tt0386676/episodes?season=6&ref_=tt_eps_sn_6","S6, Ep7","The Lover","(1,661)"
"1544663771-752","https://www.imdb.com/title/tt0386676/?ref_=ttep_ep_tt","9","https://www.imdb.com/title/tt0386676/episodes?season=9&ref_=tt_eps_sn_9","S9, Ep6","The Boat","(1,259)"
"1544663768-745","https://www.imdb.com/title/tt0386676/?ref_=ttep_ep_tt","8","https://www.imdb.com/title/tt0386676/episodes?season=8&ref_=tt_eps_sn_8","S8, Ep23","Turf War","(1,211)"
"1544663761-650","https://www.imdb.com/title/tt0386676/?ref_=ttep_ep_tt","5","https://www.imdb.com/title/tt0386676/episodes?season=5&ref_=tt_eps_sn_5","S5, Ep4","Crime Aid","(1,634)"
"1544663764-690","https://www.imdb.com/title/tt0386676/?ref_=ttep_ep_tt","6","https://www.imdb.com/title/tt0386676/episodes?season=6&ref_=tt_eps_sn_6","S6, Ep18","The Delivery: Part 2","(1,516)"
"1544663768-734","https://www.imdb.com/title/tt0386676/?ref_=ttep_ep_tt","8","https://www.imdb.com/title/tt0386676/episodes?season=8&ref_=tt_eps_sn_8","S8, Ep12","Pool Party","(1,380)"
"1544663754-606","https://www.imdb.com/title/tt0386676/?ref_=ttep_ep_tt","2","https://www.imdb.com/title/tt0386676/episodes?season=2&ref_=tt_eps_sn_2","S2, Ep19","Michael's Birthday","(2,042)"
"1544663766-699","https://www.imdb.com/title/tt0386676/?ref_=ttep_ep_tt","7","https://www.imdb.com/title/tt0386676/episodes?season=7&ref_=tt_eps_sn_7","S7, Ep1","Nepotism","(1,657)"
"1544663764-686","https://www.imdb.com/title/tt0386676/?ref_=ttep_ep_tt","6","https://www.imdb.com/title/tt0386676/episodes?season=6&ref_=tt_eps_sn_6","S6, Ep14","The Banker","(1,985)"
"1544663757-615","https://www.imdb.com/title/tt0386676/?ref_=ttep_ep_tt","3","https://www.imdb.com/title/tt0386676/episodes?season=3&ref_=tt_eps_sn_3","S3, Ep6","Diwali","(2,028)"
"1544663764-689","https://www.imdb.com/title/tt0386676/?ref_=ttep_ep_tt","6","https://www.imdb.com/title/tt0386676/episodes?season=6&ref_=tt_eps_sn_6","S6, Ep17","The Delivery: Part 1","(1,502)"
"1544663754-603","https://www.imdb.com/title/tt0386676/?ref_=ttep_ep_tt","2","https://www.imdb.com/title/tt0386676/episodes?season=2&ref_=tt_eps_sn_2","S2, Ep16","Valentine's Day","(2,040)"
"1544663752-586","https://www.imdb.com/title/tt0386676/?ref_=ttep_ep_tt","1","https://www.imdb.com/title/tt0386676/episodes?season=1&ref_=tt_eps_sn_1","S1, Ep5","Basketball","(2,765)"
"1544663764-678","https://www.imdb.com/title/tt0386676/?ref_=ttep_ep_tt","6","https://www.imdb.com/title/tt0386676/episodes?season=6&ref_=tt_eps_sn_6","S6, Ep6","Mafia","(1,580)"
"1544663771-763","https://www.imdb.com/title/tt0386676/?ref_=ttep_ep_tt","9","https://www.imdb.com/title/tt0386676/episodes?season=9&ref_=tt_eps_sn_9","S9, Ep17","The Farm","(1,411)"
"1544663771-754","https://www.imdb.com/title/tt0386676/?ref_=ttep_ep_tt","9","https://www.imdb.com/title/tt0386676/episodes?season=9&ref_=tt_eps_sn_9","S9, Ep8","The Target","(1,230)"
"1544663759-645","https://www.imdb.com/title/tt0386676/?ref_=ttep_ep_tt","4","https://www.imdb.com/title/tt0386676/episodes?season=4&ref_=tt_eps_sn_4","S4, Ep13","Job Fair","(1,715)"
"1544663759-646","https://www.imdb.com/title/tt0386676/?ref_=ttep_ep_tt","4","https://www.imdb.com/title/tt0386676/episodes?season=4&ref_=tt_eps_sn_4","S4, Ep14","Goodbye, Toby","(2,652)"
